City,Latitude,Longitude,Country,Continent,Population (2024),Population (2023),Growth Rate,Growth Rate (%)
Mangalore,12.8854777,74.8388112,India,Asia,763312,749073,0.01900882825,1.9
Jiamusi,46.7997599,130.31882,China,Asia,761903,749763,0.01619178327,1.62
Al Hudaydah,14.7883517,42.9700376,Yemen,Asia,759157,734699,0.03328982345,3.33
Seattle,47.6061389,-122.3328481,United States,North America,757992,753624,0.005795993758,0.58
Sargodha,32.084949,72.6890002,Pakistan,Asia,757915,741818,0.02169939257,2.17
Nay Pyi Taw,19.7633057,96.0785104,Myanmar,Asia,757823,722836,0.04840240386,4.84
Tamale,9.4034226,-0.842416,Ghana,Africa,757506,729768,0.03800933995,3.8
Sao Jose Dos Campos,-23.2198396,-45.8915658,Brazil,South America,757137,749188,0.01061015393,1.06
Bacoor,14.4312225,120.9656671,Philippines,Asia,757035,739682,0.02346008149,2.35
Dongtai,32.8669499,120.3205,China,Asia,756344,738200,0.02457870496,2.46
Zhangjiagang,31.8754699,120.5555,China,Asia,755752,733810,0.02990147313,2.99
Nanded Waghala,19.1485289,77.3191471,India,Asia,755577,738552,0.02305186365,2.31
Xianyang Shaanxi,34.3293199,108.70929,China,Asia,754446,743491,0.01473454285,1.47
Amara,44.6147823,27.3143056,Iraq,Asia,753708,729276,0.03350171951,3.35
Zarqa,32.0608187,36.0941795,Jordan,Asia,753392,748428,0.00663256853,0.66
Bhavnagar,21.7644725,72.1519304,India,Asia,751493,737128,0.01948779588,1.95
Sheffield,53.381129,-1.470085,United Kingdom,Europe,751303,745876,0.007276008345,0.73
Huambo,-12.7739761,15.7468535,Angola,Africa,751297,727641,0.03251053748,3.25
Ribeirao Preto,-21.1694018,-47.8110855,Brazil,South America,750174,742115,0.01085950291,1.09
Panzhihua,26.5822799,101.71872,China,Asia,750036,738495,0.01562772937,1.56
